code,val_2006,val_2025,loading,scale_sd,delta,contribution,name
v2meharjrn,0.42293047525031735,0.3220984346354534,0.03351215606203823,0.196663424278409,-0.10083204061486395,-0.017182143011785632,Harassment of journalists
v2csrlgrep,0.5736092265943011,0.5154341926729986,0.07164238609473554,0.24263907629811468,-0.05817503392130252,-0.01717694571233692,Religious organization repression
v2cafexch,0.44794734107050066,0.36826606617010227,0.051709927377504544,0.24746009493218885,-0.07968127490039839,-0.016650413633663482,Freedom of academic exchange and dissemination  
v2cldiscw,0.5702222222222223,0.48133333333333334,0.040686482072131186,0.21767192898795218,-0.08888888888888896,-0.01661480284115833,Freedom of discussion for women
v2elfrfair,0.5062579357881372,0.15146018501723207,-0.014923081610183719,0.32522073736313645,-0.3547977507709051,0.01628025270710793,Election free and fair
v2excrptps,0.14814239079745062,0.17954298150163217,-0.11651326745659571,0.22601246110588324,0.03140059070418155,-0.016187538532653777,Public sector corrupt exchanges
v2elfrcamp,0.5337114051669817,0.2417559336273892,0.016256893486313824,0.2949013469989453,-0.29195547153959245,-0.01609449753914707,Election free campaign media
v2clacjstw,0.3979577160937725,0.33870271825111464,-0.05245347185434737,0.19380281155353346,-0.059254997842657864,0.016037591697738197,Access to justice for women
v2smdefabu,0.22462851723047736,0.09832437559279163,0.028507878324748503,0.22978514287564264,-0.12630414163768572,-0.015669694988363923,Abuse of defamation and copyright law by elites 
v2clstown,0.7677316293929712,0.7391373801916933,0.09556254709811524,0.17782846573992223,-0.028594249201277955,-0.015366152289863216,State ownership of economy
v2smfordom,0.7867624579639254,0.6864873127483949,-0.029277058632132872,0.19609198537319183,-0.10027514521553049,0.014971347759234215,Foreign governments dissemination of false information 
v2exthftps,0.2900043522414043,0.26215000725373566,-0.11300155197511341,0.21494156880480964,-0.027854344987668644,0.014643906389811117,Public sector theft
v2lgoppart,0.33393680052666225,0.21214614878209345,0.0317442594223628,0.2653865389714767,-0.1217906517445688,-0.014568011094992887,Legislature opposition parties
v2mefemjrn,0.22390580073935468,0.1571965375077967,-0.042970979945614836,0.199400641274477,-0.06670926323155799,0.014375893649028778,Female journalists
v2jupurge,0.48227320125130346,0.4301355578727841,-0.05052252592873919,0.20130760750525634,-0.05213764337851934,0.0130850764762371,Judicial purges
v2lgotovst,0.300533689126084,0.21414276184122744,-0.03558568409734922,0.2451355743791286,-0.08639092728485659,0.012541142814633945,Executive oversight
v2csgender,0.6328986960882649,0.7163156135071883,0.022509341037634755,0.1529161444796906,0.08341691741892343,0.012279016377764755,CSO women's participation
v2lginvstp,0.237346746306193,0.046526249607041784,-0.015294650060449335,0.24548129522270135,-0.19082049669915124,0.011889022822398522,Legislature investigates in practice
v2cltort,0.36417291434040516,0.21694050087733288,-0.019448955994196677,0.2545033008106016,-0.14723241346307228,0.011251393287404392,Freedom from torture
v2smgovshut,0.8091684434968017,0.7089552238805971,0.02643121856418476,0.24060755962017277,-0.10021321961620466,-0.011008621320451972,Government Internet shut down in practice 
v2casurv,0.47866744593804794,0.4010812390414962,0.03120323190915909,0.22664667443807768,-0.07758620689655177,-0.010681561566024787,Campus integrity  
v2jupack,0.30260380014074595,0.3436547032606146,-0.06377037265351251,0.24890478596966278,0.04105090311986864,-0.010517400778450004,Court packing
v2smgovab,0.4743158905424868,0.34501520243238915,-0.019321538856148582,0.23865808417159198,-0.12930068811009765,0.010468064713239567,Government dissemination of false information abroad 
v2clslavem,0.58583846432452,0.5320536037667511,0.031999144238675135,0.1660082408659357,-0.053784860557768877,-0.01036737394401384,Freedom from forced labor for men
v2jureview,0.3405606657906264,0.3694699956197985,0.08021681084082347,0.22682758527860267,0.028909329829172103,0.010223687033450219,Judicial review
v2smgovsmcenprc,0.5420545212765958,0.5051529255319149,0.06409748707217353,0.23258312193154013,-0.03690159574468088,-0.010169695619114927,Government social media censorship in practice 
v2pepwrort,0.36708128435059306,0.4710731848423489,-0.02011300728046645,0.2177455222147703,0.10399190049175583,-0.009605661831416293,Power distributed by sexual orientation
v2exdfdmhs,0.30352161785216175,0.11157601115760113,0.015160468702827222,0.30922206706851746,-0.19194560669456062,-0.009410665255960775,HOS dismisses ministers in practice
v2exbribe,0.04944485566247219,0.06765358993338266,-0.11454619064148625,0.2238486593569693,0.018208734270910472,-0.009317639663902404,Executive bribery and corrupt exchanges
v2juhcind,0.3423674186932318,0.19850571344857895,-0.01421254502946053,0.23081819884295227,-0.14386170524465283,0.008858231170912877,High court independence
v2elasmoff,0.7303510960613081,0.8041347353412939,-0.035674997637858405,0.3067007812724528,0.07378363927998577,-0.008582407733379028,Election assume office
v2lgqstexp,0.21740041928721174,0.10167714884696015,0.021623774463412227,0.2935745782036218,-0.11572327044025159,-0.008523809913925264,Legislature questions officials in practice
v2elembcap,0.4440993788819876,0.42313664596273287,-0.07914319803081424,0.2060657173710078,-0.020962732919254712,0.008051109829727862,EMB capacity
v2lgdsadlo,0.575877802023408,0.5135885736956952,-0.030270297202986438,0.23978276203513182,-0.062289228327712776,0.007863423700775835,Representation of disadvantaged social groups
v2smgovsm,0.7981497056349873,0.7619848612279226,0.04992877316771409,0.23189615543020692,-0.03616484440706469,-0.0077865297494742304,Government social media shut down in practice 
v2ellocpwr,0.3452252252252252,0.3068468468468468,0.056499977292647156,0.2787134557617109,-0.038378378378378375,-0.007779952715167354,Local offices relative power
v2pscohesv,0.7223247232472325,0.7494464944649446,-0.06040602390275685,0.21166153102713783,0.027121771217712087,-0.007740274543569114,Legislative party cohesion
v2exrescon,0.3946859903381642,0.36859903381642506,-0.05952501822314515,0.2068643338319604,-0.026086956521739146,0.00750649729500643,Executive respects constitution
v2caconmob,0.3215698686501029,0.3883525874347206,-0.020167868966282282,0.19774966457914386,0.06678271878461772,-0.006810960334758003,Mass mobilization concentration
v2pepwrses,0.319742883379247,0.36841138659320477,-0.02288729043507417,0.18895896551575114,0.04866850321395777,-0.005894878631759555,Power distributed by socioeconomic position
v2smprivcon,0.3412545867551983,0.36466887995806396,0.06184394496616958,0.24580844939797594,0.023414293202865644,0.005890897012719632,Privacy protection by law content 
v2clprptym,0.5829732757241158,0.5639302288366138,0.04614743761528696,0.1603938091099175,-0.019043046887502024,-0.005478938514663949,Property rights for men
v2psorgs,0.5069204152249135,0.3509227220299885,0.0063512222513819865,0.18733523352265297,-0.155997693194925,-0.005288786319334111,Party organizations
v2exdfpphs,0.7806440735120554,0.8807958185803406,0.013817575012218777,0.26606186863650394,0.10015174506828517,0.005201249834023665,HOS proposes legislation in practice
v2smgovsmalt,0.756764256972388,0.7466352157624532,0.0841276358373524,0.17562551546648758,-0.010129041209934853,-0.004851984565155832,Government social media alternatives 
v2dlengage,0.4563335955940204,0.3693154996066089,0.011019299166177889,0.20310608897925592,-0.0870180959874115,-0.0047210718170758795,Engaged society
v2pepwrgen,0.5012994954899862,0.47943739489374715,-0.03901694451650829,0.18738474067900118,-0.021862100596239054,0.004552090863359028,Power distributed by gender
v2juncind,0.32781559405940586,0.2116336633663366,-0.009086894609924527,0.23579888483147216,-0.11618193069306926,0.00447726018950437,Lower court independence
v2dlencmps,0.5228675136116152,0.5137931034482759,-0.0960958964698569,0.20061786690860967,-0.00907441016333932,0.004346639673815858,Particularistic or public goods
v2elrgstry,0.5269718022067839,0.4538210053126277,-0.0161950378928555,0.2861535115779798,-0.07315079689415616,0.004140015340229707,Election voter registry
v2peedueq,0.20072751322751323,0.19394841269841268,-0.146606956306838,0.24430154795749212,-0.006779100529100551,0.0040681825529915875,Educational equality
v2juaccnt,0.19199871465295634,0.1997107969151671,-0.10907427102722228,0.20920117911302474,0.007712082262210762,-0.004020960849356122,Judicial accountability
v2clrelig,0.5668747946105817,0.5796910943148209,0.06439577467684626,0.2220323395820314,0.012816299704239253,0.0037170961198659254,Freedom of religion
v2canonpol,0.4344381568310428,0.4504446240905416,0.04269674955660691,0.19156904021413299,0.01600646725949878,0.0035675082106217497,Engagement in independent non-political associations 
v2dlconslt,0.3629835873388042,0.33338218053927315,-0.015953163082053523,0.18979348963947773,-0.02960140679953105,0.002488157370561883,Range of consultation
v2smorgviol,0.6248458149779735,0.6278414096916299,-0.16098447949589081,0.20461523719233307,0.002995594713656402,-0.0023568345269679046,Use of social media to organize offline violence 
v2caautmob,0.5954536698131381,0.5881333076478521,0.06992808506652198,0.23781013498210854,-0.007320362165285976,-0.0021525529525912726,Mobilization for autocracy
v2psplats,0.5554070112893642,0.3024361259655377,0.0018848329106077033,0.22441544683136908,-0.2529708853238265,-0.0021246659123344562,Distinct party platforms
v2csantimv,0.3992839352428394,0.39741594022415944,0.17770680848861792,0.1710457616682763,-0.0018679950186799577,-0.001940740476727164,CSO anti-system movements
