country_name,year,UMAP1,UMAP2,region
India,1985,0.7762420628108823,2.1635378314564133,East Asia & Pacific
India,1995,0.8017329428233945,2.2193668796131516,East Asia & Pacific
India,2005,0.8008086386957013,2.248079271466484,East Asia & Pacific
India,2015,0.8218387815990292,2.013166875989189,East Asia & Pacific
India,2025,0.9554054405429208,1.0813082619020844,East Asia & Pacific
Kenya,1975,1.7413950119056545,-1.6530914591243362,Sub-Saharan Africa
Kenya,1985,1.84835101700209,-1.4877813146998977,Sub-Saharan Africa
Kenya,1995,1.283609852556213,-0.0646604584148025,Sub-Saharan Africa
Kenya,2005,0.8870260123052441,1.4891819073269272,Sub-Saharan Africa
Kenya,2015,1.0286159891524158,2.358141632230034,Sub-Saharan Africa
Kenya,2025,1.1858931187429271,2.4482021047184372,Sub-Saharan Africa
North Korea,1975,4.16263313627623,-4.5368826673915486,East Asia & Pacific
North Korea,1985,4.25364179945372,-4.598426608889351,East Asia & Pacific
North Korea,1995,4.299426749710068,-4.637201099245797,East Asia & Pacific
North Korea,2005,4.26726074552916,-4.606169967501412,East Asia & Pacific
North Korea,2015,4.261439755920395,-4.636840610354195,East Asia & Pacific
North Korea,2025,4.2655937228240814,-4.593351631014595,East Asia & Pacific
South Korea,1975,2.023469880584701,-2.046884803622017,East Asia & Pacific
South Korea,1985,1.8395567092933498,-1.9678089903285598,East Asia & Pacific
South Korea,1995,-3.8638658966980137,1.6953577114651108,East Asia & Pacific
South Korea,2005,-3.9031272377929844,1.720306427628746,East Asia & Pacific
South Korea,2015,-3.8665490593872227,1.614736200721016,East Asia & Pacific
South Korea,2025,-3.8908644165954747,1.649363042266121,East Asia & Pacific
Kosovo,2005,-1.4648688282928624,0.6193322254726792,E. Europe & Central Asia
Kosovo,2015,-1.571684404846207,0.6085008098194504,E. Europe & Central Asia
Kosovo,2025,-1.6535108532867588,0.6379967047283555,E. Europe & Central Asia
Lebanon,1975,3.160524323944076,0.20466897025798803,Middle East & N. Africa
Lebanon,1985,3.201960042480453,0.10945889487957006,Middle East & N. Africa
Lebanon,1995,3.335854485992416,0.31431493297313695,Middle East & N. Africa
Lebanon,2005,3.267638162139877,0.2783719016621018,Middle East & N. Africa
Lebanon,2015,3.047935203079208,0.30805274978374486,Middle East & N. Africa
Lebanon,2025,3.1570274386443935,0.26930824056362157,Middle East & N. Africa
Nigeria,1975,2.5425995144882045,-0.015992669909248303,Sub-Saharan Africa
Nigeria,1985,2.4187453541793666,0.03561422363018041,Sub-Saharan Africa
Nigeria,1995,2.574770763877853,0.00966832175945287,Sub-Saharan Africa
Nigeria,2005,1.5399323854484401,2.3781923963138962,Sub-Saharan Africa
Nigeria,2015,1.511669710639938,2.414903016240349,Sub-Saharan Africa
Nigeria,2025,1.5617168102302394,2.206274242551079,Sub-Saharan Africa
Philippines,1975,2.8064672503509365,-2.504564790575752,East Asia & Pacific
Philippines,1985,2.7108598504104457,-2.0631609247615432,East Asia & Pacific
Philippines,1995,1.7886582169570766,2.6631246520588303,East Asia & Pacific
Philippines,2005,1.7463016662635646,2.6451319171497727,East Asia & Pacific
Philippines,2015,1.7126705799140773,2.7415548278400803,East Asia & Pacific
