"country_name","PC1","PC2","PC3","PC4","PC5","PC1_pct","PC2_pct","PC3_pct","PC4_pct","PC5_pct"
"Mali",-6.25571805444157,1.52075744040548,-4.80322062799292,2.31712733737257,-4.71116346867496,29.1,62,4.5,86.6,1.1
"Pakistan",-5.31359478603381,3.84767566117996,1.52309994230368,0.881476962042518,-0.101377331228015,33,86.6,73.2,68.2,46.4
"Peru",3.42579607008779,4.44146826363022,-1.25643855442225,-2.41084540091188,1.6933895823287,61.5,92.2,32.4,11.7,79.9
"Senegal",3.62820743741509,0.541452483400148,0.732273140718415,-1.70480902458568,-4.12187926222661,63.7,53.6,59.8,24,2.8
"South Sudan",-17.5597395293839,2.78198425791043,-2.00256638569488,1.82001070012534,0.249704338916381,3.4,77.7,23.5,82.1,52.5
"Sudan",-15.4959713878102,3.46024305896184,-0.027992648696621,4.89746652386438,-2.23790070941695,4.5,84.4,48,96.6,15.1
"Vietnam",-6.10838817402427,-7.51069580458987,3.00688175995723,0.616302402180825,0.063304003109744,29.6,5,88.8,65.4,47.5
"Afghanistan",-21.9980701403958,1.54775101408974,-3.8282182273729,4.02225358984141,0.854854056032206,1.1,63.1,8.4,93.9,67
"Argentina",5.11321754525527,2.94307679637255,1.98409964734773,-0.938058058015312,-0.0925835619748236,69.8,78.8,77.1,43.6,46.9
"Ethiopia",-7.46435136666686,0.311452820100681,3.68141278496237,1.3299397733483,-2.25916560750008,23.5,49.7,91.1,74.9,14
"India",-2.38260089543957,0.723139618903956,4.38154496409139,-1.22757976675732,-1.59056307663745,38.5,54.7,93.9,38,25.7
"Kenya",3.56535512444973,3.41149995185527,-0.17939939637248,-1.62084401073665,-3.30535659610977,62,82.7,44.1,26.8,6.1
"North Korea",-20.9529776829622,-11.7639606009408,3.7125905091887,-1.60144925316152,1.09436316410879,1.7,0.6,91.6,27.9,68.2
"South Korea",10.4607348576625,0.317593376560094,4.02688472476558,1.73570240446867,-2.16107424560759,86.6,50.3,92.2,80.4,16.8
"Kosovo",4.11217375404317,1.46081074681866,0.072254261422807,1.22777411116947,3.87930556170851,64.2,59.8,51.4,73.2,96.1
"Lebanon",-1.6912597553734,5.58897912310016,1.26564196331021,1.9171920853306,0.230201228190401,40.2,96.1,69.3,83.8,50.8
"Nigeria",1.65904405683422,3.9519687620482,-0.613814169581098,-1.67758378190933,-2.51954149616102,52,88.3,39.1,24.6,12.3
"Philippines",-1.5005857501839,4.5558041488269,0.436634315815177,-1.65930183530323,-0.24475125728076,40.8,93.3,55.9,25.1,44.7
"Tanzania",-0.733926230536409,-1.35518822018293,0.445404961797635,-1.53341218029215,-4.12964693492653,43.6,31.3,57,29.6,2.2
"Taiwan",9.57624306905265,-0.0831556794497113,4.95909254639622,2.48350723470874,-1.19946547656878,82.7,46.4,95.5,87.7,31.8
"Thailand",-0.970175000402897,1.76310151158075,1.9842221681881,-1.21453833235406,-0.886839349766729,43,65.4,77.7,38.5,35.8
"Uganda",-6.66383627812282,0.743660589094977,0.216520020797196,-2.60833616984079,-2.16868964526738,27.4,55.9,53.1,8.9,16.2
"Venezuela",-13.7066418988584,3.98671641410148,4.47580961695313,-0.960431843631456,0.141065563177169,8.4,88.8,94.4,43,49.2
"Benin",3.36461739822091,-1.80453005653637,-0.649373662040693,-0.554035521922756,-2.05320253608272,60.9,27.4,38,49.2,19.6
"Bhutan",2.26014117967851,-5.01540376859689,-1.49752684510809,-0.339557434555749,0.35448573908578,54.7,7.8,30.2,53.1,56.4
"Burkina Faso",-7.77262666555718,0.117299111209825,-0.114628648329654,3.53063963987179,-5.2174515428531,21.8,47.5,46.9,91.6,0.6
"Cambodia",-10.380616351009,0.492850498711873,1.64583317702222,-0.460316723416227,2.93253851141117,13.4,52.5,74.3,50.8,91.1
"Indonesia",0.357670557519118,2.04480848117027,1.82142092283676,-2.30039395130408,-1.32299026375049,46.9,69.8,76,13.4,29.6
"Mozambique",-4.57587067517253,3.90385431894992,1.04324463664267,-2.08975447588492,-2.00269698882717,34.1,87.7,63.1,16.8,21.2
"Nepal",3.61908451748575,1.85397268411492,0.442511130722625,-1.24542481599784,-0.873223124404575,63.1,67.6,56.4,36.9,36.3
"Nicaragua",-18.8505208510323,-0.646031979724071,4.95091041789365,-2.18411874142864,4.60238472320511,2.2,40.8,95,15.6,98.3
"Niger",-2.25134729908465,2.77734577395791,-3.09233036318326,2.89511429579621,-3.58471743124849,39.1,77.1,14.5,89.4,5
"Zambia",1.91168348856737,2.28590687165006,-1.04703622065906,-2.65451421329228,-3.50439298967516,53.1,73.2,33.5,7.8,5.6
"Zimbabwe",-6.82251815966959,1.81321543218794,1.21798007204688,-3.02823314778497,-0.427411770957568,25.7,66.5,66.5,4.5,42.5
"Guinea",-6.9620818167683,3.4301295587947,1.10838664353704,-1.80107888052954,-2.55708962082586,24.6,83.2,65.4,22.3,11.7
"Ivory Coast",-2.09095551716328,2.87487241782916,1.01503043032713,0.868733269503804,-2.43749148875264,39.7,78.2,62.6,67.6,12.8
"Mauritania",-6.80354488434972,1.98405043285364,-1.76694725657975,-2.02103928463021,-0.961060354733109,26.3,68.7,25.7,19,34.6
"Canada",10.371237551762,-1.94750965859692,1.08549150749429,-0.198012817085537,-1.53238233288754,86,25.1,64.8,55.3,26.3
"Australia",12.2356870087387,-3.22472577381081,0.485080969368329,-0.280963475851904,-2.57155951963013,91.6,18.4,58.1,54.7,11.2
"Botswana",4.69916145842343,-0.497944211081846,-3.56982840259155,-2.30589956594179,-1.13280354448694,67,43,10.1,12.8,32.4
"Burundi",-10.7514082912224,1.67235331474258,-0.75197562230982,-3.1087197990203,2.07827795793198,12.8,64.2,35.8,2.8,82.7
