country_name,iso3,stakeholder,satisfaction
Ethiopia,ETH,Rentiers,0.4702255585276204
Ethiopia,ETH,Powerbrokers,0.6899508667840919
Fiji,FJI,Magicians,0.43304393234086974
Fiji,FJI,Workhorses,0.556977099813544
Fiji,FJI,Rentiers,0.26522415459776
Fiji,FJI,Powerbrokers,0.05590062111801242
Finland,FIN,Magicians,0.7055153423954754
Finland,FIN,Workhorses,0.8883671031873739
Finland,FIN,Rentiers,0.4842603104163361
Finland,FIN,Powerbrokers,0.16770186335403725
France,FRA,Magicians,0.7258085632375201
France,FRA,Workhorses,0.8622527489234999
France,FRA,Rentiers,0.5746027782665485
France,FRA,Powerbrokers,0.3726708074534162
Gabon,GAB,Magicians,0.47128379161875145
Gabon,GAB,Workhorses,0.5226117296727905
Gabon,GAB,Rentiers,0.4297686095101576
Gabon,GAB,Powerbrokers,0.5370700843608046
Georgia,GEO,Magicians,0.40525318514540626
Georgia,GEO,Workhorses,0.47464876867299355
Georgia,GEO,Rentiers,0.3281723853827347
Georgia,GEO,Powerbrokers,0.2871280244739038
Germany,DEU,Magicians,0.7478403606875036
Germany,DEU,Workhorses,0.9324443390447869
Germany,DEU,Rentiers,0.5277110157738242
Germany,DEU,Powerbrokers,0.2360248447204969
Ghana,GHA,Magicians,0.531264502517153
Ghana,GHA,Workhorses,0.5355959770903623
Ghana,GHA,Rentiers,0.5466708128852413
Ghana,GHA,Powerbrokers,0.5201283952906276
Greece,GRC,Magicians,0.6213029315528932
Greece,GRC,Workhorses,0.7029686138688545
Greece,GRC,Rentiers,0.6174630527591028
Greece,GRC,Powerbrokers,0.8571428571428572
Guatemala,GTM,Magicians,0.5639155970169483
Guatemala,GTM,Workhorses,0.5273074606879304
Guatemala,GTM,Rentiers,0.5999408671034296
Guatemala,GTM,Powerbrokers,0.5866784091962548
Guinea,GIN,Magicians,0.2916953932685262
Guinea,GIN,Workhorses,0.21316746257914485
Guinea,GIN,Rentiers,0.4268212975040846
Guinea,GIN,Powerbrokers,0.6271321961620469
Guinea-Bissau,GNB,Magicians,0.3124920895158898
Guinea-Bissau,GNB,Workhorses,0.231640202473388
Guinea-Bissau,GNB,Rentiers,0.4786758180929456
Guinea-Bissau,GNB,Powerbrokers,0.8551844813201075
Guyana,GUY,Magicians,0.4888861365998603
Guyana,GUY,Workhorses,0.4724212427869379
Guyana,GUY,Rentiers,0.5634297530365812
Guyana,GUY,Powerbrokers,0.6832298136645962
Haiti,HTI,Magicians,0.33312093394686215
Haiti,HTI,Workhorses,0.19856148791852357
Haiti,HTI,Rentiers,0.5214819901876235
Haiti,HTI,Powerbrokers,0.6999049782145175
Honduras,HND,Magicians,0.5571814950924721
Honduras,HND,Workhorses,0.5239012160016085
Honduras,HND,Rentiers,0.5737051732870998
Honduras,HND,Powerbrokers,0.5232339853527395
Hungary,HUN,Magicians,0.5874204649788348
Hungary,HUN,Workhorses,0.5141648141492303
Hungary,HUN,Rentiers,0.5732108393726028
Hungary,HUN,Powerbrokers,0.3430286455919162
Iceland,ISL,Magicians,0.7041588598228252
Iceland,ISL,Workhorses,0.8653511803534861
Iceland,ISL,Rentiers,0.5747102246253704
Iceland,ISL,Powerbrokers,0.45341614906832295
India,IND,Magicians,0.46382136696843573
India,IND,Workhorses,0.4205509925311252
India,IND,Rentiers,0.5174847135284957
India,IND,Powerbrokers,0.5859947158616854
Indonesia,IDN,Magicians,0.4557349020542891
Indonesia,IDN,Workhorses,0.3798311793369838
Indonesia,IDN,Rentiers,0.5320833074759217
Indonesia,IDN,Powerbrokers,0.5698178362844164
Iran,IRN,Magicians,0.3996056377270505
Iran,IRN,Workhorses,0.36913748452651074
Iran,IRN,Rentiers,0.522250799930642
Iran,IRN,Powerbrokers,0.9316538425883008
Iraq,IRQ,Magicians,0.433755173107822
Iraq,IRQ,Workhorses,0.3580345285643994
Iraq,IRQ,Rentiers,0.5096421205525274
Iraq,IRQ,Powerbrokers,0.6731714100305923
Ireland,IRL,Magicians,0.6791870872186486
Ireland,IRL,Workhorses,0.8104825311915254
Ireland,IRL,Rentiers,0.4725907719098862
Ireland,IRL,Powerbrokers,0.037267080745341574
Israel,ISR,Magicians,0.6732095125781254
Israel,ISR,Workhorses,0.7708743043814121
Israel,ISR,Rentiers,0.5564990370590801
Israel,ISR,Powerbrokers,0.39751552795031053
Italy,ITA,Magicians,0.6483989714667064
Italy,ITA,Workhorses,0.7174902830787008
Italy,ITA,Rentiers,0.4966266262373682
Italy,ITA,Powerbrokers,0.22981366459627328
Ivory Coast,CIV,Magicians,0.39945609607084376
Ivory Coast,CIV,Workhorses,0.4182245375728843
Ivory Coast,CIV,Rentiers,0.41769011103315684
Ivory Coast,CIV,Powerbrokers,0.5711504588856957
Jamaica,JAM,Magicians,0.542284758882966
Jamaica,JAM,Workhorses,0.711186242777869
Jamaica,JAM,Rentiers,0.38669479823532005
Jamaica,JAM,Powerbrokers,0.22444841012329658
Japan,JPN,Magicians,0.7095284136225735
Japan,JPN,Workhorses,0.8249625213297193
Japan,JPN,Rentiers,0.48738629369009884
Japan,JPN,Powerbrokers,0.04347826086956519
Jordan,JOR,Magicians,0.5707046317915647
Jordan,JOR,Workhorses,0.6435209598838016
Jordan,JOR,Rentiers,0.4292168117057815
Jordan,JOR,Powerbrokers,0.19396032261054974
Kazakhstan,KAZ,Magicians,0.43962433035779785
Kazakhstan,KAZ,Workhorses,0.4138496959987257
Kazakhstan,KAZ,Rentiers,0.3818046279367854
Kazakhstan,KAZ,Powerbrokers,0.3282307407064059
Kenya,KEN,Magicians,0.49074892450771773
Kenya,KEN,Workhorses,0.50257298844104
Kenya,KEN,Rentiers,0.5165484518689676
Kenya,KEN,Powerbrokers,0.44805089459534625
Kuwait,KWT,Magicians,0.5647722314041991
Kuwait,KWT,Workhorses,0.631788385244021
Kuwait,KWT,Rentiers,0.44667196008482446
Kuwait,KWT,Powerbrokers,0.3169671827199407
Kyrgyzstan,KGZ,Magicians,0.5023695058021158
Kyrgyzstan,KGZ,Workhorses,0.4756799685672497
Kyrgyzstan,KGZ,Rentiers,0.4794386518778882
Kyrgyzstan,KGZ,Powerbrokers,0.4455942337999444
Laos,LAO,Magicians,0.38130807877696976
Laos,LAO,Workhorses,0.42342837085021534
Laos,LAO,Rentiers,0.43436806904037706
Laos,LAO,Powerbrokers,0.6923495874663947
Latvia,LVA,Magicians,0.6571131985459793
Latvia,LVA,Workhorses,0.8451929629001564
Latvia,LVA,Rentiers,0.41640326043399023
Latvia,LVA,Powerbrokers,0.0727148419393715
Lebanon,LBN,Magicians,0.507185551659848
Lebanon,LBN,Workhorses,0.35255377265729426
Lebanon,LBN,Rentiers,0.6371351743092861
Lebanon,LBN,Powerbrokers,0.7171943079632891
Lesotho,LSO,Magicians,0.3909764087097004
Lesotho,LSO,Workhorses,0.5449176975854768
Lesotho,LSO,Rentiers,0.32506863484711673
Lesotho,LSO,Powerbrokers,0.3997520163159359
Liberia,LBR,Magicians,0.4000244374861236
Liberia,LBR,Workhorses,0.33126422425901364
Liberia,LBR,Rentiers,0.5623603970594355
Liberia,LBR,Powerbrokers,0.7874177250393992
Libya,LBY,Magicians,0.29031342265454213
Libya,LBY,Workhorses,0.2791586462918415
Libya,LBY,Rentiers,0.4631190959722053
Libya,LBY,Powerbrokers,0.9335079262074719
Lithuania,LTU,Magicians,0.6186546383801359
Lithuania,LTU,Workhorses,0.786122395274056
Lithuania,LTU,Rentiers,0.42040730868468795
Lithuania,LTU,Powerbrokers,0.09628487994808566
Luxembourg,LUX,Magicians,0.6513247094987832
Luxembourg,LUX,Workhorses,0.8675649818906876
Luxembourg,LUX,Rentiers,0.4116637820855534
Luxembourg,LUX,Powerbrokers,0.1925465838509317
Madagascar,MDG,Magicians,0.3184909261998183
Madagascar,MDG,Workhorses,0.18498948640061244
Madagascar,MDG,Rentiers,0.5353580857381296
Madagascar,MDG,Powerbrokers,0.741366923148234
Malawi,MWI,Magicians,0.5110469392411209
Malawi,MWI,Workhorses,0.4982685843554663
Malawi,MWI,Rentiers,0.5335622034268758
Malawi,MWI,Powerbrokers,0.5991007694447019
Malaysia,MYS,Magicians,0.5721517439249872
Malaysia,MYS,Workhorses,0.49538435891125077
Malaysia,MYS,Rentiers,0.5091288410201792
Malaysia,MYS,Powerbrokers,0.10509177713914897
Mali,MLI,Magicians,0.3635521754557689
Mali,MLI,Workhorses,0.4271473369536877
Mali,MLI,Rentiers,0.44718725256839836
Mali,MLI,Powerbrokers,0.6972860851024381
Malta,MLT,Magicians,0.6521694084332162
Malta,MLT,Workhorses,0.7727051164250168
Malta,MLT,Rentiers,0.4445681887174707
Malta,MLT,Powerbrokers,0.09316770186335399
Mauritania,MRT,Magicians,0.298652291824839
Mauritania,MRT,Workhorses,0.24875370295561214
Mauritania,MRT,Rentiers,0.39992261901671056
Mauritania,MRT,Powerbrokers,0.6036316862890516
Mauritius,MUS,Magicians,0.5606150050615549
Mauritius,MUS,Workhorses,0.6687951993520843
Mauritius,MUS,Rentiers,0.4085274851289149
Mauritius,MUS,Powerbrokers,0.2093839807175304
Mexico,MEX,Magicians,0.47468298970010275
Mexico,MEX,Workhorses,0.40526162736233057
Mexico,MEX,Rentiers,0.4824795757462505
Mexico,MEX,Powerbrokers,0.3566677482154445
Moldova,MDA,Magicians,0.47753014079835404
Moldova,MDA,Workhorses,0.5929984358328345
Moldova,MDA,Rentiers,0.40694676830222964
Moldova,MDA,Powerbrokers,0.373516733104663
Mongolia,MNG,Magicians,0.4942647561523104
Mongolia,MNG,Workhorses,0.48410638866187294
Mongolia,MNG,Rentiers,0.4429212137719487
Mongolia,MNG,Powerbrokers,0.2113771206081394
Montenegro,MNE,Magicians,0.5631199260083062
Montenegro,MNE,Workhorses,0.6814978627876145
Montenegro,MNE,Rentiers,0.37457652253058965
Montenegro,MNE,Powerbrokers,0.10878835635487161
Morocco,MAR,Magicians,0.5348094394450731
Morocco,MAR,Workhorses,0.5279796827715024
Morocco,MAR,Rentiers,0.5448782427717531
Morocco,MAR,Powerbrokers,0.46979002503012884
Mozambique,MOZ,Magicians,0.3651870241181421
Mozambique,MOZ,Workhorses,0.21974726161518823
Mozambique,MOZ,Rentiers,0.5747508899475064
Mozambique,MOZ,Powerbrokers,0.7687841846667285
Namibia,NAM,Magicians,0.5291571496313826
Namibia,NAM,Workhorses,0.6211679893779223
Namibia,NAM,Rentiers,0.42540132742808634
Namibia,NAM,Powerbrokers,0.24176091591730786
Nepal,NPL,Magicians,0.4291099045347063
Nepal,NPL,Workhorses,0.5092923806223065
Nepal,NPL,Rentiers,0.4092336928443921
Nepal,NPL,Powerbrokers,0.4618638175581719
Netherlands,NLD,Magicians,0.7061079118209653
Netherlands,NLD,Workhorses,0.8723692931873042
Netherlands,NLD,Rentiers,0.48519114561214993
Netherlands,NLD,Powerbrokers,0.1428571428571429
New Zealand,NZL,Magicians,0.6954735104742514
New Zealand,NZL,Workhorses,0.8867559885890018
New Zealand,NZL,Rentiers,0.4385513646049318
New Zealand,NZL,Powerbrokers,0.006211180124223614
Nicaragua,NIC,Magicians,0.2637714883696189
Nicaragua,NIC,Workhorses,0.08717475836854773
Nicaragua,NIC,Rentiers,0.42220801268783836
Nicaragua,NIC,Powerbrokers,0.5792736627421897
Niger,NER,Magicians,0.43713757010426657
Niger,NER,Workhorses,0.44204250255764543
Niger,NER,Rentiers,0.5162930880631674
Niger,NER,Powerbrokers,0.6985607675906182
Nigeria,NGA,Magicians,0.4275054398438378
Nigeria,NGA,Workhorses,0.3349505241640317
Nigeria,NGA,Rentiers,0.5044695137342303
Nigeria,NGA,Powerbrokers,0.46011402614257907
North Macedonia,MKD,Magicians,0.48251694407358275
North Macedonia,MKD,Workhorses,0.433784119525486
North Macedonia,MKD,Rentiers,0.37884980343097907
North Macedonia,MKD,Powerbrokers,0.09447714841939375
Norway,NOR,Magicians,0.6904461992427186
Norway,NOR,Workhorses,0.9105548015253453
Norway,NOR,Rentiers,0.4745136602093271
Norway,NOR,Powerbrokers,0.2422360248447205
Oman,OMN,Magicians,0.4996920170818088
Oman,OMN,Workhorses,0.4907805021013821
Oman,OMN,Rentiers,0.5040975244246204
Oman,OMN,Powerbrokers,0.49968712338926485
Pakistan,PAK,Magicians,0.37692167991745984
Pakistan,PAK,Workhorses,0.23531685743453834
Pakistan,PAK,Rentiers,0.5361123117951816
Pakistan,PAK,Powerbrokers,0.7003916751645499
Panama,PAN,Magicians,0.5327986601965211
Panama,PAN,Workhorses,0.5455004341872178
Panama,PAN,Rentiers,0.5007240116028946
Panama,PAN,Powerbrokers,0.44983545007879855
Papua New Guinea,PNG,Magicians,0.5182030956423914
Papua New Guinea,PNG,Workhorses,0.4043284963344621
Papua New Guinea,PNG,Rentiers,0.6511828647036815
Papua New Guinea,PNG,Powerbrokers,0.5557036247334755
Paraguay,PRY,Magicians,0.4689531923776272
Paraguay,PRY,Workhorses,0.432582151826911
Paraguay,PRY,Rentiers,0.540188622744324
Paraguay,PRY,Powerbrokers,0.6860572911838324
Peru,PER,Magicians,0.49577581379078667
Peru,PER,Workhorses,0.45951233463049074
Peru,PER,Rentiers,0.47222723782929343
Peru,PER,Powerbrokers,0.3106517103921387
Philippines,PHL,Magicians,0.5161577294363413
Philippines,PHL,Workhorses,0.3643388772223508
Philippines,PHL,Rentiers,0.5652693746926407
Philippines,PHL,Powerbrokers,0.32628395290627604
Poland,POL,Magicians,0.5749063497768739
Poland,POL,Workhorses,0.6824784553816636
Poland,POL,Rentiers,0.44315752554977916
Poland,POL,Powerbrokers,0.25406739593955685
Portugal,PRT,Magicians,0.5831940354148264
Portugal,PRT,Workhorses,0.7102955173650816
Portugal,PRT,Rentiers,0.5603473263862925
Portugal,PRT,Powerbrokers,0.782608695652174
Qatar,QAT,Magicians,0.5543992087401383
Qatar,QAT,Workhorses,0.5274594506493243
Qatar,QAT,Rentiers,0.47426242132468105
Qatar,QAT,Powerbrokers,0.24484332993418
Republic of the Congo,COG,Magicians,0.3668394394022465
Republic of the Congo,COG,Workhorses,0.2259396171786016
Republic of the Congo,COG,Rentiers,0.5677348272532023
