country_name,iso3,horizontal,vertical
Romania,ROU,0.3599291931921528,0.3761638733705773
Russia,RUS,0.9426149850178692,0.9273743016759777
Rwanda,RWA,0.8736711479013675,0.8081936685288641
Sao Tome and Principe,STP,0.45667027042075764,0.48696461824953446
Saudi Arabia,SAU,0.8255353817504656,0.925512104283054
Senegal,SEN,0.46592364372018785,0.260707635009311
Serbia,SRB,0.7098186574443558,0.542830540037244
Seychelles,SYC,0.2241537622367816,0.38733705772811916
Sierra Leone,SLE,0.37875571496625154,0.29608938547486036
Singapore,SGP,0.4234436834800613,0.5521415270018621
Slovakia,SVK,0.28189038813308004,0.4655493482309125
Slovenia,SVN,0.35063470410034003,0.14338919925512106
Solomon Islands,SLB,0.3631143137606695,0.35288640595903165
Somalia,SOM,0.7271916908463615,0.6256983240223464
Somaliland,SML,0.34560929737621954,0.6741154562383612
South Africa,ZAF,0.342826054678075,0.2309124767225326
South Korea,KOR,0.16189156360651746,0.24022346368715083
South Sudan,SSD,0.8280988676272553,0.9162011173184358
Spain,ESP,0.1356527280263801,0.16573556797020483
Sri Lanka,LKA,0.2795382812516111,0.3556797020484171
Sudan,SDN,0.8172502273613096,0.7467411545623837
Suriname,SUR,0.44211179989730076,0.21042830540037247
Sweden,SWE,0.04444191820767107,0.0912476722532588
Switzerland,CHE,0.07049257492612049,0.12197392923649908
Syria,SYR,0.8552682863453294,0.5772811918063314
Taiwan,TWN,0.16816900420901978,0.31191806331471134
Tajikistan,TJK,0.8946927889860201,0.9720670391061452
Tanzania,TZA,0.531007494158722,0.22998137802607077
Thailand,THA,0.3227548457345781,0.5828677839851024
The Gambia,GMB,0.4020433646586693,0.38919925512104286
Timor-Leste,TLS,0.4675370841247157,0.3482309124767225
Togo,TGO,0.7426824200729618,0.686219739292365
Trinidad and Tobago,TTO,0.2923118881609203,0.16666666666666666
Tunisia,TUN,0.6453903396705787,0.3482309124767225
Turkmenistan,TKM,0.9385379482008038,0.9720670391061452
Türkiye,TUR,0.6467818321300197,0.5623836126629422
Uganda,UGA,0.6906829294447847,0.7728119180633147
Ukraine,UKR,0.5911138848159766,0.6713221601489758
United Arab Emirates,ARE,0.8839451981910083,0.8472998137802606
United Kingdom,GBR,0.1277837582566698,0.30819366852886404
United States of America,USA,0.3184169363037753,0.4273743016759777
Uruguay,URY,0.05270322801503783,0.2243947858472998
Uzbekistan,UZB,0.9172629101010289,0.7597765363128491
Vanuatu,VUT,0.36194219145368944,0.13873370577281194
Venezuela,VEN,0.9190428759091874,0.7318435754189944
Vietnam,VNM,0.8626296887470073,0.6210428305400373
Yemen,YEM,0.868320423747863,0.8994413407821229
Zambia,ZMB,0.46409933987886437,0.462756052141527
Zanzibar,ZZB,0.5803490228103714,0.5251396648044693
Zimbabwe,ZWE,0.6852466225761016,0.9124767225325885
