code,name,category,PC1,PC2,PC3,PC4
v2exl_legitperf,Performance legitimation ,Executive,0.03744148758990121,0.08490358734038811,0.1350496031303462,0.1487336541949399
v2jupack,Court packing,Judiciary,0.0732875325730831,0.02952091901484531,-0.041241632948195564,0.08050105313051913
v2psprbrch,Party branches,Political Parties,0.06629888993273174,0.021528123159282046,0.14603895024464203,-0.17084126844652642
v2pscohesv,Legislative party cohesion,Political Parties,0.02072050694885431,0.0816124348716859,0.11127928356174728,-0.15774025460431407
v2clsnlpct,Weaker civil liberties population,Civil Liberties,-0.0680566992077197,-0.06908978136148997,-0.03422578005952711,-0.0017540192688703352
v2regimpoppgroup,Regime most important opposition group,Regime,6.20637477486496e-4,0.06572062490666424,0.047312563822039404,-0.15824891753757903
v2regoppgroupssize,Regime opposition groups size,Regime,-0.0504548395385159,-0.11225916544454657,0.08944348068951101,-0.042751856365499476
v2regproreg,Strongest pro-regime preferences,Regime,0.018422235723989617,-0.009376664014195468,-0.04340459718421113,-0.24367297730916002
v2regantireg,Strongest anti-regime preferences,Regime,0.0033698412523673876,0.06248141013493982,0.06503298218193981,-0.08000227769799373
v2regpower,Most powerful group in affecting regime duration and change,Regime,-0.00939149591012153,-0.029652148990085676,-0.03825013398174749,-0.22343203392250352
v2edcenttxbooks,Centralized textbook approval,Education,-0.05452466991010649,0.019146349038858236,0.11488812555370835,0.08930199911320277
v2edpoledprim,"Political education, primary school",Education,-0.014781032045208056,0.013955030905266369,0.1198866515519806,-0.06280080495448241
v2edpoledsec,"Political education, secondary school",Education,-0.005076608770206496,0.028684627866669796,0.11189334604747174,-0.060278451061549665
v2edpoledrights,Political rights and duties in the curriculum,Education,0.048578093948116984,-0.021635831253769357,0.07240553563323515,-0.0124591735503891
v2edideol,Ideology in the curriculum,Education,-0.035712073804166085,0.07829929838615309,0.10539169005053953,-0.057242441508144455
v2edplural,Pluralism in the curriculum,Education,0.05925806869750513,-0.0498690185431697,0.01955224868916195,-0.0015428031813353002
v2edcritical,Critical engagement with education content,Education,0.06085791041814503,-0.03844679960616284,-0.018623154844775943,0.007652475500747003
